temps,eps1,eps2,eps3,eps4,eps5,eps6
0.0001,26.66666667,-8.333333333,-8.333333333,0,0,0
0.5334333333,27.65114212,-8.475368097,-8.475368097,0,0,0
1.066766667,28.54382398,-8.605784637,-8.605784637,0,0,0
1.6001,29.35394784,-8.725738493,-8.725738493,0,0,0
2.133433333,30.08981449,-8.836268352,-8.836268352,0,0,0
2.666766667,30.75888459,-8.938307871,-8.938307871,0,0,0
3.2001,31.36786374,-9.03269632,-9.03269632,0,0,0
3.733433333,31.92277894,-9.120188133,-9.120188133,0,0,0
4.266766667,32.4290473,-9.201461501,-9.201461501,0,0,0
4.8001,32.8915378,-9.277126091,-9.277126091,0,0,0
5.333433333,33.31462678,-9.347729984,-9.347729984,0,0,0
5.866766667,33.70224786,-9.413765909,-9.413765909,0,0,0
6.4001,34.05793674,-9.475676848,-9.475676848,0,0,0
6.933433333,34.38487149,-9.533861075,-9.533861075,0,0,0
7.466766667,34.68590878,-9.588676679,-9.588676679,0,0,0
8.0001,34.96361642,-9.640445631,-9.640445631,0,0,0
8.533433333,35.22030258,-9.689457447,-9.689457447,0,0,0
9.066766667,35.45804215,-9.735972466,-9.735972466,0,0,0
9.6001,35.67870026,-9.780224808,-9.780224808,0,0,0
10.13343333,35.70275844,-9.766354,-9.766354,0,0,0
10.66676667,35.16361499,-9.581666596,-9.581666596,0,0,0
11.2001,34.58748197,-9.39172775,-9.39172775,0,0,0
11.73343333,33.97784381,-9.196977782,-9.196977782,0,0,0
12.26676667,33.33783407,-8.997813112,-8.997813112,0,0,0
12.8001,32.67027095,-8.79459071,-8.79459071,0,0,0
13.33343333,31.97768922,-8.587632078,-8.587632078,0,0,0
