Temps,Contrainte,Epsilon 1,Epsilon 2
1995.562952,0.02373946638,0.00002789161527,-0.000003771650639
2025.30693,0.01547931407,0.00002622232712,-0.000005023695882
2055.494244,0.009643871041,0.00002433147985,-0.000002823024615
2086.131501,0.01758917215,0.00002402510027,-0.000001501862037
2117.225408,0.01770563547,0.00002625373046,-0.000001764325019
2148.782772,0.0173327955,0.00002712919661,-0.000000192777524
2180.8105,0.01536647369,0.00002528298272,-0.0000001903766118
2213.315603,0.00647584231,0.00002335017071,0.0000002463640391
2246.305196,0.01306774384,0.00002607171071,-0.000000525355412
2279.786501,0.01616637907,0.00002611171112,-0.0000003765885695
2313.766847,0.01708608185,0.00002552017264,0.000001151634416
2348.253672,0.02149050733,0.00002523895784,0.0000005988647661
2383.254525,0.01503106888,0.00002417249364,0.000001358894132
2418.777068,0.01680168565,0.00002611520111,0.000002445918148
2454.829076,0.02088308785,0.00002649152634,0.000002026144042
2491.418441,0.02090584807,0.00002519375467,0.000001582916746
2528.553173,0.01422243898,0.00002555243971,0.000004283073266
2566.2414,0.02349489359,0.00002659136726,0.00000365003247
2604.491373,0.01748381969,0.00002410381833,0.000004026849996
2643.311463,0.01341388601,0.00002360058947,0.000005348917962
2682.710169,0.01629865634,0.00002377732854,0.000004192382661
2722.696115,0.01199394468,0.00002258869238,0.000003901380009
2763.278053,0.009728359574,0.00002167421183,0.00000576867757
2804.464868,0.01961075974,0.00002353094616,0.000006097115836
2846.265574,0.0122844133,0.00002486625047,0.000004090816761
2888.689323,0.01017972898,0.00002370315029,0.000006257314553
2931.745399,0.0252742916,0.00002739663922,0.000006054532903
2975.443229,0.03217041724,0.00002593229466,0.000007021184972
3019.792378,0.01886082573,0.00002389042556,0.000007373016729
3064.802553,0.01883364617,0.00002348236117,0.000006358507018
3110.483607,0.02738623211,0.00002600803022,0.000006700867272
3156.84554,0.02809542313,0.00002537982316,0.000008422392446
3203.8985,0.01621538363,0.0000233921122,0.000007629062915
3251.652788,0.02004242055,0.0000228706267,0.000008356071883
3300.118855,0.02119994938,0.00002276855241,0.000007380142654
3349.307312,0.01746206551,0.00002394170569,0.000009831352866
3399.228926,0.02924451283,0.00002649003242,0.000009676364676
3449.894624,0.02776998314,0.00002796093818,0.00001155644468
